organization_name,org_type,amenity,healthcare,social_facility,address,city,lat,lon,distance_miles
Junior High School 189,school,school,,,144-80 Barclay Avenue,,40.7599781,-73.8184074,1.37
Passport Health Rego Park Travel Clinic,clinic,clinic,clinic,,63-16 102nd Street,Rego Park,40.7330239,-73.8550564,1.38
Forest Hills High School,school,school,,,,,40.729999,-73.8439903,1.38
Parsons Pharmacy,pharmacy,pharmacy,pharmacy,,144-14 Northern Boulevard,Flushing,40.7644936,-73.8226963,1.39
Sapphire Center for Rehabilitation & Nursing of Central Queens,social_facility,social_facility,,nursing_home,35-15 Parsons Boulevard,,40.7653481,-73.8232266,1.41
School of Transfiguration,school,school,,,98-07 38th Avenue,Queens,40.7504653,-73.8677797,1.41
Rite Aid,pharmacy,pharmacy,pharmacy,,144-29 Northern Boulevard,Flushing,40.7649382,-73.8224665,1.42
Rego Park Medical Center,clinic,clinic,clinic,,,,40.7331856,-73.8571835,1.43
P.S. 175 the Lynn Gross Discovery School,school,school,,,,,40.7309133,-73.8525819,1.44
Saint Marys School,school,school,,,,,40.7528798,-73.8134674,1.45
Sherwood Drugs,pharmacy,pharmacy,pharmacy,,97-21 57th Avenue,Corona,40.7374994,-73.8633501,1.45
Park City Drugs,pharmacy,pharmacy,pharmacy,,63-20 99th Street,,40.7323335,-73.8571743,1.48
Yehuda Litvintchouk,physiotherapist,,physiotherapist,,,,40.7322216,-73.8243846,1.49
Rego Park Seniors Club,yes,,yes,,63-36 99th Street,,40.7320518,-73.8570235,1.49
Northern Pharmacy,pharmacy,pharmacy,pharmacy,,100-16 Northern Boulevard,,40.7572557,-73.8677737,1.5
Junction Dental,dentist,dentist,dentist,,38-09 Junction Boulevard,,40.7493796,-73.8693569,1.5
Public School 92 - Harry T. Stewart Senior,school,school,,,99-01 34th Avenue,,40.7560011,-73.868759,1.52
P.S. 206Q - Horace Harding School,school,school,,,,,40.7340539,-73.8609558,1.52
Happy Dragon Preschool,school,school,,,,,40.7580556,-73.8136111,1.53
21st Century Pharmacy,pharmacy,pharmacy,pharmacy,,96-05 57th Avenue,Corona,40.7370854,-73.8647474,1.53
Interdisciplinary Center For Child Development,kindergarten,kindergarten,,,98-02 62nd Drive,,40.732894,-73.8597146,1.53
Corona Family Dental Center,dentist,dentist,dentist,,37-66 Junction Boulevard,,40.7497923,-73.8700499,1.53
Long Island Jewish Forest Hills,hospital,hospital,hospital,,102-01 66th Avenue,Forest Hills,40.7290451,-73.8515684,1.54
Cedar's Pharmacy,pharmacy,pharmacy,pharmacy,,95-19 57th Avenue,,40.7369764,-73.8651149,1.55
The Dermatology Specialists,doctors,doctors,doctor,,,,40.7509413,-73.8702897,1.55
Public School 214,school,school,,,,,40.7701553,-73.8281252,1.55
CityMD,clinic,clinic,clinic,,37-26 Junction Boulevard,,40.7507829,-73.8705876,1.56
Axon Dental,dentist,dentist,dentist,,99-63 66th Avenue,,40.7291087,-73.8526363,1.56
Forest Hills Dental,dentist,dentist,dentist,,,,40.7283492,-73.851372,1.58
Zeta,school,school,,,,,40.7373559,-73.8663104,1.59
Urgent MD,centre,,centre,,69-40 Main Street,,40.7303041,-73.8238744,1.61
Cohen Children's Northwell Health,clinic,clinic,clinic,,,,40.7303853,-73.8238918,1.61
Smiley Faces Dental,dentist,dentist,dentist,,35-38 Junction Boulevard,,40.7521839,-73.8713679,1.61
Prestige Dental,dentist,dentist,dentist,,,,40.7358243,-73.8656272,1.62
Health Pharmacy,pharmacy,pharmacy,pharmacy,,Junction Boulevard,,40.7349009,-73.8646644,1.62
Gotham Health Lefrak,clinic,clinic,clinic,,59-17 Junction Boulevard,,40.7345797,-73.8645061,1.63
Franklin Pharmacy,pharmacy,pharmacy,pharmacy,,94-31 59th Avenue,,40.7354041,-73.8654161,1.63
Vital Orthopedics Forest Hills,alternative,,alternative,,69-40 108th Street,Forest Hills,40.7266311,-73.8467849,1.63
Pan American International High School,school,school,,,45-10 94th Street,Elmhurst,40.7435414,-73.8708993,1.63
Orthodontist Braces for Adults & Children,dentist,dentist,dentist,,94-42 59th Avenue,,40.735145,-73.8653541,1.64
Ivy Day School,kindergarten,kindergarten,,,Kissena Boulevard,,40.7368831,-73.8144179,1.64
Civic Leadership Academy,school,school,,,45-10 94th Street,Elmhurst,40.7434828,-73.8710598,1.64
Pay Less 4 Braces,dentist,dentist,dentist,,34-49 Junction Boulevard,,40.753684,-73.8717818,1.64
St Raphael Chemists Pharmacy,pharmacy,pharmacy,pharmacy,,35-04C Junction Boulevard,,40.7531015,-73.871853,1.64
Quick Solve,clinic,clinic,clinic,,35-08 Junction Boulevard,,40.7530279,-73.8718151,1.64
Rego Park Medical Associates,clinic,clinic,clinic,,59-10 Junction Boulevard,Elmhurst,40.7347967,-73.8650915,1.64
"Xinqi Xu, M.D. Family Medicine",doctors,doctors,doctor,,9429 59th Avenue,Elmhurst,40.7352842,-73.8657959,1.65
Voyages Preparatory High School,school,school,,,45-10 94th Street,Elmhurst,40.7434169,-73.8712648,1.65
